Parameter,Model,Train_R2,Test_R2,Train_MAE,Test_MAE,Train_RMSE,Test_RMSE,Overfitting
beta1,LightGBM,0.9994761763884822,0.9946430178610106,0.00018038609049717775,0.0005275612992974199,0.0002488489041699206,0.0008022465897303064,0.0048331585274715705
beta1,CatBoost,0.9981461463522947,0.9960654375165214,0.00035407258919003084,0.0004846519528398372,0.00046814557239747653,0.0006875368874802878,0.0020807088357732706
beta1,RandomForest,0.9957539580050816,0.9860590405196865,0.00048639867417268315,0.0008583224321659315,0.0007084926349837098,0.001294178298038535,0.009694917485395083
beta1,ExtraTrees,0.993398631495769,0.9843810059268545,0.0006323198208022204,0.0009344559368385509,0.0008834056768997542,0.001369854089218962,0.0090176255689145
beta1,SVR,-0.10914374342676525,-0.12238916014320167,0.010221053164618714,0.010396549851453954,0.011450833878597454,0.01161233382746847,0.01324541671643642
beta1,NeuralNet,-1.4632299380544738,-6.03723562388628,0.013583672901547337,0.02121070643911201,0.01706458278285105,0.029076948463210812,4.574005685831807
beta1,ElasticNet,0.0,-0.0004896368228226589,0.0094185146521999,0.0095815293249952,0.010872845011891903,0.010963622606847228,0.0004896368228226589
beta2,XGBoost,0.999861023695298,0.9942599153783269,0.0003536066197320964,0.0020217320621074863,0.000471024672335733,0.0030865394637843912,0.005601108316971026
beta2,LightGBM,0.9997345318593054,0.9967104449709563,0.0004677380350916165,0.0014513264529699259,0.0006509977390474378,0.002336583279619649,0.003024086888349098
beta2,CatBoost,0.9989553431335229,0.9978925610119492,0.0009475749033821319,0.001243054465313164,0.0012913979950198078,0.001870209211929193,0.0010627821215736244
beta2,RandomForest,0.99906848358147,0.9961649796544949,0.0006978368661345295,0.0012886536960208096,0.0012194627342925822,0.0025228795869419868,0.0029035039269751373
beta2,ExtraTrees,0.9978810295648457,0.9960700866944994,0.0013347635380009932,0.0016441238699311217,0.0018392286560866208,0.002553901667122392,0.0018109428703463326
beta2,SVR,-0.011080365032755779,-0.005765925739682931,0.03636662391570975,0.03722046669658057,0.04017594626263766,0.0408564986798795,-0.005314439293072848
beta2,NeuralNet,0.6074875187108011,-0.08950676734456287,0.019882348147625885,0.03226541630064658,0.025032257163575322,0.042523367793331115,0.696994286055364
beta2,ElasticNet,0.0,-0.0007454997491498361,0.035815621572534435,0.03665450904571737,0.03995519698988786,0.040754400551839993,0.0007454997491498361
phi1,XGBoost,0.9998783593424273,0.9956041913653748,0.00037945108557942034,0.0020761351624898287,0.0005178074534337142,0.003138067175245971,0.00427416797705249
phi1,LightGBM,0.9996941068335251,0.996827931219976,0.0005831750666211471,0.0017554211947066836,0.0008211335660178165,0.002665717634684203,0.0028661756135490712
