Parameter_Set,Eigenvalue_Index,Real_Part,Imaginary_Part,Magnitude,Stable
10,8,-0.02787655757696813,0.0,0.02787655757696813,True
10,9,-0.012427372461083422,0.0,0.012427372461083422,True
10,10,-0.016573123867500768,0.0,0.016573123867500768,True
10,11,-0.017132283276001987,0.0,0.017132283276001987,True
10,12,-0.04628040716833265,0.0,0.04628040716833265,True
10,13,-0.14136337100900676,0.0,0.14136337100900676,True
10,14,-0.014650779200930941,0.0,0.014650779200930941,True
10,15,-0.12570420260260562,0.0,0.12570420260260562,True
11,1,-0.1099689228567513,0.0,0.1099689228567513,True
11,2,-0.005749711178091449,0.0,0.005749711178091449,True
11,3,-65.92593008833879,0.0,65.92593008833879,True
11,4,-0.8363286023563811,0.0,0.8363286023563811,True
11,5,-0.18881649172053017,0.0,0.18881649172053017,True
11,6,-0.2029506213792812,0.0,0.2029506213792812,True
11,7,-0.08001775868380114,0.0,0.08001775868380114,True
11,8,-0.00059475542931083,0.0,0.00059475542931083,True
11,9,-0.00011117884248121471,0.0,0.00011117884248121471,True
11,10,-0.029494855708218443,0.0,0.029494855708218443,True
11,11,-0.02161382324927817,0.0,0.02161382324927817,True
11,12,-0.014671166538321859,0.0,0.014671166538321859,True
11,13,-0.30447748211592796,0.0,0.30447748211592796,True
11,14,-0.0226704433003988,0.0,0.0226704433003988,True
11,15,-0.14356482669342086,0.0,0.14356482669342086,True
12,1,-0.0478359352129587,0.0,0.0478359352129587,True
12,2,-45.582367386842726,0.0,45.582367386842726,True
12,3,-0.31554790929532517,0.0,0.31554790929532517,True
12,4,-0.18103935189631387,0.0,0.18103935189631387,True
12,5,-0.17624444225518945,0.0,0.17624444225518945,True
12,6,-0.1646011548543511,0.0,0.1646011548543511,True
12,7,-0.12947091644658298,0.0,0.12947091644658298,True
12,8,0.016135971754487288,0.0,0.016135971754487288,False
12,9,0.004023551053774702,0.0,0.004023551053774702,False
12,10,-0.050408474568283825,0.0,0.050408474568283825,True
12,11,-0.018009533746125572,0.0,0.018009533746125572,True
12,12,-0.038118186414810885,0.0,0.038118186414810885,True
12,13,-0.02425696798194903,0.0,0.02425696798194903,True
12,14,-0.1441962660386764,0.0,0.1441962660386764,True
12,15,-0.14458084174329144,0.0,0.14458084174329144,True
13,1,-0.1260561641180935,0.0,0.1260561641180935,True
13,2,-32.129497964522805,0.0,32.129497964522805,True
13,3,-0.21673913286759938,0.0,0.21673913286759938,True
13,4,-0.17792466666256662,0.00973079490271692,0.17819055916749402,True
13,5,-0.17792466666256662,-0.00973079490271692,0.17819055916749402,True
13,6,-0.13133338545473994,0.007537908884341026,0.13154952757555582,True
13,7,-0.13133338545473994,-0.007537908884341026,0.13154952757555582,True
13,8,-0.0420197205184102,0.0,0.0420197205184102,True
13,9,-0.03629651857897391,0.0,0.03629651857897391,True
13,10,0.0035284742397649026,0.0,0.0035284742397649026,False
13,11,1.988611834223938e-05,0.0,1.988611834223938e-05,False
13,12,-0.010902605281987913,0.0,0.010902605281987913,True
13,13,-0.0094483916954533,0.0,0.0094483916954533,True
13,14,-0.10739295008832528,0.0,0.10739295008832528,True
13,15,-0.200406402584008,0.0,0.200406402584008,True
14,1,-0.06330514168428891,0.0,0.06330514168428891,True
14,2,-13.247942949209545,0.0,13.247942949209545,True
14,3,-0.5906286685321154,0.0,0.5906286685321154,True
14,4,-0.4137198451756515,0.0,0.4137198451756515,True
14,5,-0.07990828522473938,0.00948555388388418,0.0804693095536576,True
14,6,-0.07990828522473938,-0.00948555388388418,0.0804693095536576,True
14,7,-0.06771749254277215,0.0,0.06771749254277215,True
14,8,-0.05209589444819698,0.0,0.05209589444819698,True
14,9,-0.04128111496714161,0.0,0.04128111496714161,True
14,10,0.005280543282172047,0.0,0.005280543282172047,False
14,11,0.004161812910120095,0.0,0.004161812910120095,False
14,12,-0.008046930722535595,0.0,0.008046930722535595,True
14,13,-0.005708161300456233,0.0,0.005708161300456233,True
14,14,-0.09930302136140767,0.0,0.09930302136140767,True
14,15,-0.2806408327948873,0.0,0.2806408327948873,True
15,1,-0.13028937928538653,0.0,0.13028937928538653,True
15,2,-28.217209999728322,0.0,28.217209999728322,True
15,3,-0.3112035926611434,0.0,0.3112035926611434,True
15,4,-0.2621685594173625,0.0,0.2621685594173625,True
15,5,-0.17950050028569725,0.008970736478305055,0.17972452174307987,True
15,6,-0.17950050028569725,-0.008970736478305055,0.17972452174307987,True
15,7,-0.15935418516071853,0.0,0.15935418516071853,True
15,8,-0.07137332332359528,0.0,0.07137332332359528,True
15,9,-0.03912018841462483,0.0,0.03912018841462483,True
15,10,0.004010510612279558,0.0,0.004010510612279558,False
15,11,0.0004294661973656084,0.0,0.0004294661973656084,False
15,12,-0.009528937851706661,0.0,0.009528937851706661,True
15,13,-0.006878351726325031,0.0,0.006878351726325031,True
15,14,-0.1507498847974631,0.0,0.1507498847974631,True
15,15,-0.1296813489926052,0.0,0.1296813489926052,True
